"Time","A4261164","X"
"and","Level (m)",""
"Date","Mean","Qual"
09:00:00 02/06/2015,0.615,1
09:00:00 03/06/2015,0.609,1
09:00:00 04/06/2015,0.574,1
09:00:00 05/06/2015,0.654,1
09:00:00 06/06/2015,0.621,1
09:00:00 07/06/2015,0.558,1
09:00:00 08/06/2015,0.57,1
09:00:00 09/06/2015,0.616,1
09:00:00 10/06/2015,0.66,1
09:00:00 11/06/2015,0.616,1
09:00:00 12/06/2015,0.613,1
09:00:00 13/06/2015,0.587,1
09:00:00 14/06/2015,0.586,1
09:00:00 15/06/2015,0.595,1
09:00:00 16/06/2015,0.615,1
09:00:00 17/06/2015,0.619,1
09:00:00 18/06/2015,0.657,1
09:00:00 19/06/2015,0.698,1
09:00:00 20/06/2015,0.638,1
09:00:00 21/06/2015,0.62,1
09:00:00 22/06/2015,0.529,1
09:00:00 23/06/2015,0.484,1
09:00:00 24/06/2015,0.612,1
09:00:00 25/06/2015,0.685,1
09:00:00 26/06/2015,0.638,1
09:00:00 27/06/2015,0.614,1
09:00:00 28/06/2015,0.626,1
09:00:00 29/06/2015,0.618,1
09:00:00 30/06/2015,0.63,1
09:00:00 01/07/2015,0.637,1
09:00:00 02/07/2015,0.628,1
09:00:00 03/07/2015,0.672,1
09:00:00 04/07/2015,0.639,1
09:00:00 05/07/2015,0.652,1
09:00:00 06/07/2015,0.647,1
09:00:00 07/07/2015,0.685,1
09:00:00 08/07/2015,0.687,1
09:00:00 09/07/2015,0.675,1
09:00:00 10/07/2015,0.654,1
09:00:00 11/07/2015,0.675,1
09:00:00 12/07/2015,0.893,1
09:00:00 13/07/2015,1.025,1
09:00:00 14/07/2015,0.839,1
09:00:00 15/07/2015,0.87,1
09:00:00 16/07/2015,0.859,1
09:00:00 17/07/2015,0.841,1
09:00:00 18/07/2015,0.839,1
09:00:00 19/07/2015,0.789,1
09:00:00 20/07/2015,0.771,1
09:00:00 21/07/2015,0.73,1
09:00:00 22/07/2015,0.677,1
09:00:00 23/07/2015,0.748,1
09:00:00 24/07/2015,0.717,1
09:00:00 25/07/2015,0.763,1
09:00:00 26/07/2015,0.758,1
09:00:00 27/07/2015,0.884,1
09:00:00 28/07/2015,0.773,1
09:00:00 29/07/2015,0.74,1
09:00:00 30/07/2015,0.686,1
09:00:00 31/07/2015,0.731,1
09:00:00 01/08/2015,0.707,1
09:00:00 02/08/2015,0.779,1
09:00:00 03/08/2015,0.817,1
09:00:00 04/08/2015,0.843,1
09:00:00 05/08/2015,0.805,1
09:00:00 06/08/2015,0.885,1
09:00:00 07/08/2015,0.813,1
09:00:00 08/08/2015,0.761,1
09:00:00 09/08/2015,0.706,1
09:00:00 10/08/2015,0.644,1
09:00:00 11/08/2015,0.755,1
09:00:00 12/08/2015,0.669,1
09:00:00 13/08/2015,0.852,1
09:00:00 14/08/2015,0.739,1
09:00:00 15/08/2015,0.729,1
09:00:00 16/08/2015,0.737,1
09:00:00 17/08/2015,0.746,1
09:00:00 18/08/2015,0.811,1
09:00:00 19/08/2015,0.727,1
09:00:00 20/08/2015,0.684,1
09:00:00 21/08/2015,0.657,1
09:00:00 22/08/2015,0.742,1
09:00:00 23/08/2015,0.748,1
09:00:00 24/08/2015,0.783,1
09:00:00 25/08/2015,0.852,1
09:00:00 26/08/2015,0.801,1
09:00:00 27/08/2015,0.747,1
09:00:00 28/08/2015,0.781,1
09:00:00 29/08/2015,0.739,1
09:00:00 30/08/2015,0.724,1
09:00:00 31/08/2015,0.704,1
09:00:00 01/09/2015,0.7,1
09:00:00 02/09/2015,0.669,1
09:00:00 03/09/2015,0.706,1
09:00:00 04/09/2015,0.851,1
09:00:00 05/09/2015,0.765,1
09:00:00 06/09/2015,0.729,1
09:00:00 07/09/2015,0.822,1
09:00:00 08/09/2015,0.824,1
09:00:00 09/09/2015,0.846,1
09:00:00 10/09/2015,0.791,1
09:00:00 11/09/2015,0.719,1
09:00:00 12/09/2015,0.695,1
09:00:00 13/09/2015,0.715,1
09:00:00 14/09/2015,0.67,1
09:00:00 15/09/2015,0.78,1
09:00:00 16/09/2015,0.745,1
09:00:00 17/09/2015,0.727,1
09:00:00 18/09/2015,0.795,1
09:00:00 19/09/2015,0.766,1
09:00:00 20/09/2015,0.767,1
09:00:00 21/09/2015,0.819,1
09:00:00 22/09/2015,0.961,1
09:00:00 23/09/2015,0.885,1
09:00:00 24/09/2015,0.872,1
09:00:00 25/09/2015,0.85,1
09:00:00 26/09/2015,0.831,1
09:00:00 27/09/2015,0.795,1
09:00:00 28/09/2015,0.803,1
09:00:00 29/09/2015,0.873,1
09:00:00 30/09/2015,0.843,1
09:00:00 01/10/2015,0.799,1
09:00:00 02/10/2015,0.836,1
09:00:00 03/10/2015,0.768,1
09:00:00 04/10/2015,0.755,1
09:00:00 05/10/2015,0.797,1
09:00:00 06/10/2015,0.723,1
09:00:00 07/10/2015,0.912,1
09:00:00 08/10/2015,0.843,1
09:00:00 09/10/2015,0.791,1
09:00:00 10/10/2015,0.781,1
09:00:00 11/10/2015,0.814,1
09:00:00 12/10/2015,0.887,1
09:00:00 13/10/2015,0.862,1
09:00:00 14/10/2015,0.833,1
09:00:00 15/10/2015,0.756,1
09:00:00 16/10/2015,0.794,1
09:00:00 17/10/2015,0.853,1
09:00:00 18/10/2015,0.872,1
09:00:00 19/10/2015,0.807,1
09:00:00 20/10/2015,0.778,1
09:00:00 21/10/2015,0.819,1
09:00:00 22/10/2015,0.944,1
09:00:00 23/10/2015,0.887,1
09:00:00 24/10/2015,0.812,1
09:00:00 25/10/2015,0.749,1
09:00:00 26/10/2015,0.897,1
09:00:00 27/10/2015,0.914,1
09:00:00 28/10/2015,0.814,1
09:00:00 29/10/2015,0.821,1
09:00:00 30/10/2015,0.862,1
09:00:00 31/10/2015,0.954,1
09:00:00 01/11/2015,0.923,1
09:00:00 02/11/2015,0.937,1
09:00:00 03/11/2015,0.916,1
09:00:00 04/11/2015,0.839,1
09:00:00 05/11/2015,0.869,1
09:00:00 06/11/2015,1.03,1
09:00:00 07/11/2015,0.998,1
09:00:00 08/11/2015,0.916,1
09:00:00 09/11/2015,0.876,1
09:00:00 10/11/2015,0.92,1
09:00:00 11/11/2015,0.973,1
09:00:00 12/11/2015,0.904,1
09:00:00 13/11/2015,0.993,1
09:00:00 14/11/2015,0.991,1
09:00:00 15/11/2015,0.936,1
09:00:00 16/11/2015,0.91,1
09:00:00 17/11/2015,0.818,1
09:00:00 18/11/2015,0.833,1
09:00:00 19/11/2015,0.826,1
09:00:00 20/11/2015,0.899,1
09:00:00 21/11/2015,0.946,1
09:00:00 22/11/2015,0.948666666666667,1
09:00:00 23/11/2015,0.951333333333333,1
09:00:00 24/11/2015,0.954,1
09:00:00 25/11/2015,0.956666666666667,1
09:00:00 26/11/2015,0.959333333333333,1
09:00:00 27/11/2015,0.962,1
09:00:00 28/11/2015,0.798,1
09:00:00 29/11/2015,0.776,1
09:00:00 30/11/2015,0.753,1
09:00:00 01/12/2015,0.781,1
09:00:00 02/12/2015,0.780166666666667,1
09:00:00 03/12/2015,0.779333333333333,1
09:00:00 04/12/2015,0.7785,1
09:00:00 05/12/2015,0.777666666666667,1
09:00:00 06/12/2015,0.776833333333333,1
09:00:00 07/12/2015,0.776,1
09:00:00 08/12/2015,0.762,1
09:00:00 09/12/2015,0.846,1
09:00:00 10/12/2015,0.791,1
09:00:00 11/12/2015,0.792,1
09:00:00 12/12/2015,0.894,1
09:00:00 13/12/2015,0.739,1
09:00:00 14/12/2015,0.735,1
09:00:00 15/12/2015,0.77,1
09:00:00 16/12/2015,0.721,1
09:00:00 17/12/2015,0.742,1
09:00:00 18/12/2015,0.73,1
09:00:00 19/12/2015,0.783,1
09:00:00 20/12/2015,0.681,1
09:00:00 21/12/2015,0.864,1
09:00:00 22/12/2015,0.744,1
09:00:00 23/12/2015,0.762,1
09:00:00 24/12/2015,0.749,1
09:00:00 25/12/2015,0.646,1
09:00:00 26/12/2015,0.716,1
09:00:00 27/12/2015,0.851,1
09:00:00 28/12/2015,0.728,1
09:00:00 29/12/2015,0.708,1
09:00:00 30/12/2015,0.671,1
09:00:00 31/12/2015,0.611,1
09:00:00 01/01/2016,0.674,1
09:00:00 02/01/2016,0.817,1
09:00:00 03/01/2016,0.782,1
09:00:00 04/01/2016,0.756,1
09:00:00 05/01/2016,0.696,1
09:00:00 06/01/2016,0.688,1
09:00:00 07/01/2016,0.758,1
09:00:00 08/01/2016,0.731,1
09:00:00 09/01/2016,0.677,1
09:00:00 10/01/2016,0.65,1
09:00:00 11/01/2016,0.582,1
09:00:00 12/01/2016,0.64,1
09:00:00 13/01/2016,0.613,1
09:00:00 14/01/2016,0.669,1
09:00:00 15/01/2016,0.746,1
09:00:00 16/01/2016,0.668,1
09:00:00 17/01/2016,0.623,1
09:00:00 18/01/2016,0.573,1
09:00:00 19/01/2016,0.632,1
09:00:00 20/01/2016,0.54,1
09:00:00 21/01/2016,0.634,1
09:00:00 22/01/2016,0.559,1
09:00:00 23/01/2016,0.64,1
09:00:00 24/01/2016,0.666,1
09:00:00 25/01/2016,0.652,1
09:00:00 26/01/2016,0.661,1
09:00:00 27/01/2016,0.615,1
09:00:00 28/01/2016,0.684,1
09:00:00 29/01/2016,0.708,1
09:00:00 30/01/2016,0.597,1
09:00:00 31/01/2016,0.65,1
09:00:00 01/02/2016,0.672,1
09:00:00 02/02/2016,0.56,1
09:00:00 03/02/2016,0.65,1
09:00:00 04/02/2016,0.797,1
09:00:00 05/02/2016,0.77,1
09:00:00 06/02/2016,0.712,1
09:00:00 07/02/2016,0.693,1
09:00:00 08/02/2016,0.739,1
09:00:00 09/02/2016,0.721,1
09:00:00 10/02/2016,0.662,1
09:00:00 11/02/2016,0.698,1
09:00:00 12/02/2016,0.702,1
09:00:00 13/02/2016,0.635,1
09:00:00 14/02/2016,0.693,1
09:00:00 15/02/2016,0.676,1
09:00:00 16/02/2016,0.691,1
09:00:00 17/02/2016,0.709,1
09:00:00 18/02/2016,0.67,1
09:00:00 19/02/2016,0.649,1
09:00:00 20/02/2016,0.669,1
09:00:00 21/02/2016,0.656,1
09:00:00 22/02/2016,0.588,1
09:00:00 23/02/2016,0.613,1
09:00:00 24/02/2016,0.62,1
09:00:00 25/02/2016,0.612,1
09:00:00 26/02/2016,0.702,1
09:00:00 27/02/2016,0.669,1
09:00:00 28/02/2016,0.651,1
09:00:00 29/02/2016,0.659,1
09:00:00 01/03/2016,0.616,1
09:00:00 02/03/2016,0.586,1
09:00:00 03/03/2016,0.68,1
09:00:00 04/03/2016,0.671,1
09:00:00 05/03/2016,0.651,1
09:00:00 06/03/2016,0.631,1
09:00:00 07/03/2016,0.675,1
09:00:00 08/03/2016,0.659,1
09:00:00 09/03/2016,0.593,1
09:00:00 10/03/2016,0.594,1
09:00:00 11/03/2016,0.58,1
09:00:00 12/03/2016,0.6,1
09:00:00 13/03/2016,0.635,1
